Model,Best Params,MAE,MSE,RMSE,R2,Selected Features,Target Variable,Target Transformation
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 50}",36.99331529879922,35807.27372510953,189.228099723877,0.6692950607570263,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RHQ542D', 'RIAGENDR']",LBXEST,
RandomForestRegressor,"{'max_depth': 10, 'n_estimators': 100}",43.28106191457301,69414.80609445968,263.4668975307139,0.3589062544034586,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RHQ542D', 'RIAGENDR']",LBXEST,
GradientBoostingRegressor,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}",47.09485943927245,113399.03471058798,336.74773155967654,-0.0473185189153115,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RHQ542D', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 1000}",40.67404437710616,42110.391941641166,205.20816733658816,0.6110814044244678,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RHQ542D', 'RIAGENDR']",LBXEST,
LGBMRegressor,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",62.765689721570695,116227.7553406764,340.9219197128228,-0.073443710441768,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RHQ542D', 'RIAGENDR']",LBXEST,
CatBoostRegressor,"{'depth': 10, 'iterations': 500, 'learning_rate': 0.05}",45.50732689132423,82411.39405311419,287.0738477345405,0.2388737754097047,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RHQ542D', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 50}",34.94996964839409,31253.89198622872,176.7877031533266,0.7113486904990387,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
RandomForestRegressor,"{'max_depth': 10, 'n_estimators': 100}",44.073704765532206,73996.65242806148,272.02325714552694,0.3165897344414298,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
GradientBoostingRegressor,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",47.46964614987518,108664.1000750713,329.6423820977383,-0.003588122600332,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 10}",37.936579917588254,32215.356446640897,179.48636841454254,0.7024689012024321,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
LGBMRegressor,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",65.50080310318454,118427.47978854548,344.13293912170843,-0.0937596871751127,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
CatBoostRegressor,"{'depth': 10, 'iterations': 500, 'learning_rate': 0.05}",43.179898152246,75713.32146530981,275.16053762360224,0.3007351085343644,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 20}",34.7920212424048,29588.91531780228,172.01428812108102,0.7267259016265872,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 30}",36.25569411148109,34476.26031154675,185.67784011978048,0.6815878902375123,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RIAGENDR']",LBXEST,
